"Fishbase_name","Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group","highlight"
"Eustomias_polyaster","Stomiiformes","Stomiidae",2.00281377922467,0.812913356642856,0.676693609624867,0.916453948549925,1.1156105116743,0.602059991327962,0.278753600952829,-0.259637310505756,0.20682587603185,"Deep-sea",FALSE
"Euthynnus_affinis","Perciformes","Scombridae",2.61126647459996,2.02718646183674,1.82891756161669,1.74678983215261,1.74241088058049,1.42127479121035,0.954242509439325,1.1102529173534,3.15581258873238,"Surface",FALSE
"Euthynnus_alletteratus","Perciformes","Scombridae",2.67516403124078,2.07773117965239,1.89614025144202,1.84843545533147,1.79761373015308,1.57518784492766,1.02978947083186,1.11760269169008,3.40105572577184,"Surface",FALSE
"Euthynnus_lineatus","Perciformes","Scombridae",2.65832626529883,2.06220580881971,1.87737134586977,1.77619251474707,1.80002935924413,1.48643047885443,0.945960703577569,1.04610478724604,3.17695898058691,"Surface",FALSE
"Flagellostomias_boureei","Stomiiformes","Stomiidae",2.34242268082221,1.30319605742049,0.977723605288848,1.21218760440396,1.42488163663107,0.851258348719075,0.602059991327962,0,1.30749603791321,"Deep-sea",FALSE
"Fowlerichthys_avalonis","Lophiiformes","Antennariidae",1.97767788767399,1.7614767795447,1.53364497879876,1.68529378138678,1.45954325828041,1.32076922833869,1.0696680969116,0.574031267727719,2.02551067285258,"Deep-sea",FALSE
"Gilchristella_aestuaria","Clupeiformes","Clupeidae",1.64669773129933,0.901458321396112,0.612783856719735,0.797267540830716,0.742725131304698,0.184691430817599,0.531478917042255,-0.173925197299174,-0.154901959985743,"Surface",FALSE
"Gonostoma_atlanticum","Stomiiformes","Gonostomatidae",1.70517924487368,0.918554530550273,0.513217600067939,0.822168079368018,1.04375512696868,0.436162647040756,0.48572142648158,-0.167491087293764,-0.207608310501746,"Deep-sea",FALSE
"Gonostoma_denudatum","Stomiiformes","Gonostomatidae",2.06058453136086,1.27806733088866,0.8555191556678,1.13672056715641,1.36040405472994,0.690196080028514,0.830588668685144,0.247973266361807,0.881384656770573,"Deep-sea",FALSE
"Sigmops_elongatus","Stomiiformes","Gonostomatidae",2.21404867941194,1.32837960343874,1.00945089579869,1.21031851982623,1.50351831272407,0.937016107464814,0.874481817699467,0.296665190261531,1.12090281761453,"Deep-sea",FALSE
"Grammatorcynus_bilineatus","Perciformes","Scombridae",2.66181268553726,1.92839585225671,1.7419390777292,1.7865384804978,1.76012078526457,1.49345805099519,1.24575935596728,1.12057393120585,2.97772360528885,"Surface",FALSE
"Grammatostomias_flagellibarba","Stomiiformes","Stomiidae",2.22824632625525,1.02897770520878,1.15775888604686,1.2380461031288,1.46044678388072,0.96189547366785,1.06220580881971,0.744292983122676,1.59857166348214,"Deep-sea",FALSE
"Gymnosarda_unicolor","Perciformes","Scombridae",2.7791273153062,2.19387561215236,2.05982838164098,1.9670328821587,1.98281376213186,1.69870934944259,1.16967443405881,1.39005149645899,3.67766807810418,"Surface",FALSE
"Halieutichthys_aculeatus","Lophiiformes","Ogcocephalidae",1.81444737852249,0.990338854787601,1.66679868366617,1.00130093302042,1.15442397311465,1.31323429169472,0.635483746814912,0.326335860928751,1.17811325231463,"Deep-sea",FALSE
"Harengula_clupeola","Clupeiformes","Clupeidae",2.23360521916227,1.62757066418054,1.25212455250564,1.4432629874587,1.38057300306689,0.850646235183066,1.08635983067475,0.658011396657112,1.62086447526512,"Surface",FALSE
"Harengula_humeralis","Clupeiformes","Clupeidae",2.15806079393661,1.59988307207369,1.27346427262135,1.43136376415899,1.32633586092875,0.65991620006985,1.12385164096709,0.568201724066995,1.69521891890515,"Surface",FALSE
"Harengula_jaguana","Clupeiformes","Clupeidae",2.03929511808431,1.59659709562646,1.19672872262329,1.38201704257487,1.17114115102838,0.643452676486187,1.08278537031645,0.403120521175818,1.54120469068326,"Surface",FALSE
"Harengula_thrissina","Clupeiformes","Clupeidae",1.88490859416261,1.37584643630916,0.983175072037813,1.17638069224327,1.03742649794062,0.465382851448418,0.883661435153618,0.0899051114393979,0.962369335670021,"Surface",FALSE
"Herklotsichthys_quadrimaculatus","Clupeiformes","Clupeidae",2.06449542679273,1.4884096889032,1.2087100199064,1.32283927268632,1.18383903705642,0.575187844927661,1.00603795499732,0.363611979892144,1.47813342810052,"Surface",FALSE
"Heterophotus_ophistoma","Stomiiformes","Stomiidae",2.49136169383427,1.77356704892606,1.42602301568988,1.42488163663107,1.73559889969818,1.28712962071911,1.23375736296551,0.7481880270062,2.38237730346811,"Deep-sea",FALSE
"Hilsa_kelee","Clupeiformes","Clupeidae",2.18977095634687,1.76110053895814,1.38183679999834,1.48897352472651,1.44731310882357,0.752048447819439,1.17695898058691,0.580924975675619,1.94875518016827,"Surface",FALSE
"Himantolophus_groenlandicus","Lophiiformes","Himantolophidae",2.01203535914953,1.82242962377936,1.70217195085771,1.79483645781456,1.61846649219908,1.63608651510307,1.1978316933289,0.514547752660286,2.20002926655377,"Deep-sea",TRUE
"Histiophryne_cryptacanthus","Lophiiformes","Antennariidae",1.61257195406518,1.35430056234536,1.27508089845686,1.16643011384328,1.11760269169008,0.870403905279027,0.83695673705955,0.318063334962762,0.913813852383717,"Deep-sea",FALSE
"Histrio_histrio","Lophiiformes","Antennariidae",2.04937310015153,1.79028516403324,1.53756725715268,1.64325522502477,1.53681086599154,1.34752515999869,1.2291697025391,0.699837725867246,2.0899051114394,"Deep-sea",FALSE
"Ichthyococcus_ovatus","Stomiiformes","Phosichthyidae",1.5817221599491,1.10619089726342,0.669316880566112,1,0.705007959333336,0.525044807036845,0.598790506763115,0,0.0128372247051722,"Deep-sea",FALSE
"Idiacanthus_antrostomus","Stomiiformes","Stomiidae",2.46209838113516,0.980911937776844,0.986771734266245,1.05804623039528,1.32076922833869,0.79448804665917,0.426511261364575,-0.173925197299174,0.843855422623161,"Deep-sea",FALSE
"Idiacanthus_atlanticus","Stomiiformes","Stomiidae",2.56427537855227,1.15956719323362,1.12580645813953,1.16967443405881,1.40483371661994,0.983175072037813,0.558708570533166,0.0128372247051722,1.35121634533934,"Deep-sea",FALSE
"Idiacanthus_fasciola","Stomiiformes","Stomiidae",2.4089349586788,0.8494194137969,0.94299959336604,1.0899051114394,1.26717172840301,0.808210972924222,0.374748346010104,-0.221848749616356,0.673020907128896,"Deep-sea",FALSE
"Jenkinsia_lamprotaenia","Clupeiformes","Clupeidae",1.70156798505593,0.929418925714293,0.740362689494244,0.799340549453582,0.765668554759014,0.238046103128795,0.514547752660286,0,0.113943352306837,"Surface",FALSE
"Katsuwonus_pelamis","Perciformes","Scombridae",2.76504982190295,2.19445883744353,2.08296479377775,1.92711361193376,1.91466043058922,1.54654266347813,1.15381486434453,1.27091163941048,3.62627876095152,"Surface",FALSE
"Konosirus_punctatus","Clupeiformes","Clupeidae",2.25222175359869,1.75073975123535,1.34123662323869,1.42862067267194,1.33945144130644,0.682145076373832,1.20978301484851,0.550228353055094,1.94645226501307,"Surface",FALSE
"Leptostomias_gladiator","Stomiiformes","Stomiidae",2.45918132105668,1.48029446000301,1.37657695705651,1.33203427702752,1.4345689040342,1.36828688490213,0.694605198933569,0.271841606536499,1.93161040636296,"Deep-sea",FALSE
"Limnothrissa_miodon","Clupeiformes","Clupeidae",2.05327056668138,1.40654018043396,1.13033376849501,1.20411998265592,1.21616590228599,0.45484486000851,0.966141732739033,0.322219294733919,1.28216877830464,"Surface",FALSE
