"Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group"
"Lophiiformes","Ogcocephalidae",153.8,31.8,92.5,30.7,16.5,22.8,11.2,11.7,105,"Deep-sea"
"Lophiiformes","Ogcocephalidae",148.88,32.1,85.13,31.25,18.85,24.53,13.17,6.38,119.47,"Deep-sea"
"Lophiiformes","Ogcocephalidae",202.47,47.59,112.96,40.87,24.27,32.07,16.59,9.59,339.63,"Deep-sea"
"Lophiiformes","Oneirodidae",96.51,62.88,43.49,47.23,32.46,42.2,13.16,5.85,109,"Deep-sea"
"Lophiiformes","Oneirodidae",85.18,58.37,25.48,50.07,38.65,21.3,13.81,3.82,51.7,"Deep-sea"
"Clupeiformes","Clupeidae",154.62,51.84,23.16,27.08,19.85,5.38,13.89,3.16,75.8,"Surface"
"Clupeiformes","Clupeidae",42.9,13.18,5.01,8.42,4.8,2.13,4.5,0.68,0.82,"Surface"
"Clupeiformes","Clupeidae",162.87,58.18,21.36,31.55,17.76,4.69,15.56,3.97,78.97,"Surface"
"Stomiiformes","Stomiidae",153.47,27.8,16.07,21.65,30.07,11.69,4.45,1.44,28.87,"Deep-sea"
"Clupeiformes","Clupeidae",61.87,13.43,6.33,10.07,9.2,2.9,5.4,0.83,2.73,"Surface"
"Clupeiformes","Clupeidae",76.33,22.33,7.96,11.66,10.91,2.38,7.15,1.15,5.44,"Surface"
"Stomiiformes","Phosichthyidae",153.21,22.2,10.05,16.47,28.67,8.06,8.56,1.79,13.17,"Deep-sea"
"Stomiiformes","Stomiidae",224.3,31.2,18.2,20.47,31.13,13.02,3.53,2.32,63.75,"Deep-sea"
"Stomiiformes","Stomiidae",216.4,31.3,19.2,21.8,42.8,12.3,4.8,2.5,72.29,"Deep-sea"
"Stomiiformes","Stomiidae",289,36.3,28.02,18.48,40.48,14.56,14.7,4.73,140.53,"Deep-sea"
"Lophiiformes","Antennariidae",43.95,20.35,13.47,12.11,6.81,8.65,5.97,1.73,5.3,"Deep-sea"
"Stomiiformes","Sternoptychidae",77.47,48.7,12.4,33.17,16.07,6.17,7.67,1.77,16.4,"Deep-sea"
"Stomiiformes","Sternoptychidae",37.58,25.34,7.14,20.04,9.78,4.98,4.15,1.11,2.43,"Deep-sea"
"Stomiiformes","Sternoptychidae",56.33,35.23,11.43,25.8,13.23,8.3,5.93,1.7,8.02,"Deep-sea"
"Stomiiformes","Phosichthyidae",115.55,19.87,6.94,15.06,21.96,4.48,6.38,1.89,6.38,"Deep-sea"
"Stomiiformes","Phosichthyidae",161.33,26.23,10.2,17.17,27.97,6.5,10.07,1.63,19.83,"Deep-sea"
"Clupeiformes","Clupeidae",37.22,6.75,4,5,3.84,1.95,2.81,0.71,0.45,"Surface"
"Perciformes","Scombridae",174.51,53.19,26.93,33.59,38.16,10.67,6.76,5.6,100.47,"Surface"
"Perciformes","Scombridae",163.28,40.78,23.62,24.89,26.89,7.76,5.75,4.1,72.18,"Surface"
"Stomiiformes","Stomiidae",326.3,31.74,13.36,18.91,48.62,8.76,9.77,2.6,59.55,"Deep-sea"
"Clupeiformes","Clupeidae",34.57,7.7,2.83,5.9,3.1,1.17,3.37,0.53,0.37,"Surface"
"Perciformes","Scombridae",519.3,123.32,76.7,61.58,76.96,31.46,10.91,14.5,1870.4,"Surface"
"Perciformes","Scombridae",485,108.45,75.2,69.28,88.25,35.07,13.14,17.82,1549.5,"Surface"
"Perciformes","Scombridae",349.23,78,64.7,49.37,60.91,26,9.81,11.17,920,"Surface"
